Title,Author,URL,Published,Summary,ID,Category
Egg-smol Python: A Pythonic Library for E-graphs,Saul Shanabrook,"[{'@href': 'http://arxiv.org/abs/2305.04311v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/2305.04311v1', '@rel': 'related', '@type': 'application/pdf'}]",2023-05-07T15:35:17Z,"E-graphs have emerged as a versatile data structure with applications in
synthesis, optimization, and verification through techniques such as equality
saturation. This paper introduces Python bindings for the experimental egg-smol
library, which aims to bring the benefits of e-graphs to the Python ecosystem.
The bindings offer a high-level, Pythonic API providing an accessible and
familiar interface for Python users. By integrating e-graph techniques with
Python, we hope to enable collaboration and innovation across various domains
in the scientific computing and machine learning communities. We discuss the
advantages of using Python bindings for both Python and existing egg-smol
users, as well as possible future directions for development.",http://arxiv.org/abs/2305.04311v1,
"Making Python Code Idiomatic by Automatic Refactoring Non-Idiomatic
  Python Code with Pythonic Idioms",Zejun Zhang,"[{'@href': 'http://arxiv.org/abs/2207.05613v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/2207.05613v1', '@rel': 'related', '@type': 'application/pdf'}]",2022-07-12T15:30:46Z,"Compared to other programming languages (e.g., Java), Python has more idioms
to make Python code concise and efficient. Although pythonic idioms are well
accepted in the Python community, Python programmers are often faced with many
challenges in using them, for example, being unaware of certain pythonic idioms
or do not know how to use them properly. Based on an analysis of 7,638 Python
repositories on GitHub, we find that non-idiomatic Python code that can be
implemented with pythonic idioms occurs frequently and widely. Unfortunately,
there is no tool for automatically refactoring such non-idiomatic code into
idiomatic code. In this paper, we design and implement an automatic refactoring
tool to make Python code idiomatic. We identify nine pythonic idioms by
systematically contrasting the abstract syntax grammar of Python and Java. Then
we define the syntactic patterns for detecting non-idiomatic code for each
pythonic idiom. Finally, we devise atomic AST-rewriting operations and
refactoring steps to refactor non-idiomatic code into idiomatic code. We test
and review over 4,115 refactorings applied to 1,065 Python projects from
GitHub, and submit 90 pull requests for the 90 randomly sampled refactorings to
84 projects. These evaluations confirm the high-accuracy, practicality and
usefulness of our refactoring tool on real-world Python code. Our refactoring
tool can be accessed at 47.242.131.128:5000.",http://arxiv.org/abs/2207.05613v1,
Modern Python at the Large Synoptic Survey Telescope,Tim Jenness,"[{'@href': 'http://arxiv.org/abs/1712.00461v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/1712.00461v1', '@rel': 'related', '@type': 'application/pdf'}]",2017-12-01T19:04:46Z,"The LSST software systems make extensive use of Python, with almost all of it
initially being developed solely in Python 2. Since LSST will be commissioned
when Python 2 is end-of-lifed it is critical that we have all our code support
Python 3 before commissioning begins. Over the past year we have made
significant progress in migrating the bulk of the code from the Data Management
system onto Python 3. This paper presents our migration methodology, and the
current status of the port, with our eventual aim to be running completely on
Python 3 by early 2018. We also discuss recent modernizations to our Python
codebase.",http://arxiv.org/abs/1712.00461v1,
Python GUI Scripting Interface for Running Atomic Physics Applications,Amani Tahat,"[{'@href': 'http://arxiv.org/abs/1106.0868v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/1106.0868v1', '@rel': 'related', '@type': 'application/pdf'}]",2011-06-05T01:11:08Z,"We create a Python GUI scripting interface working under Windows in addition
to (UNIX/Linux). The GUI has been built around the Python open-source
programming language. We use the Python's GUI library that so called Python
Mega Widgets (PMW) and based on Tkinter Python module
(http://www.freenetpages.co.uk/hp/alan.gauld/tutgui.htm). The new GUI was
motivated primarily by the desire of more updated operations, more flexibility
incorporating future and current improvements in producing atomic data.
Furthermore it will be useful for a variety of applications of atomic physics,
plasma physics and astrophysics and will help in calculating various atomic
properties.",http://arxiv.org/abs/1106.0868v1,
Towards Memory Safe Python Enclave for Security Sensitive Computation,Huibo Wang,"[{'@href': 'http://arxiv.org/abs/2005.05996v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/2005.05996v1', '@rel': 'related', '@type': 'application/pdf'}]",2020-05-12T18:19:08Z,"Intel SGX Guard eXtensions (SGX), a hardware-supported trusted execution
environment (TEE), is designed to protect security-sensitive applications.
However, since enclave applications are developed with memory unsafe languages
such as C/C++, traditional memory corruption is not eliminated in SGX. Rust-SGX
is the first toolkit providing enclave developers with a memory-language.
However, Rust is considered a Systems language and has become the right choice
for concurrent applications and web browsers. Many application domains such as
Big Data, Machine Learning, Robotics, Computer Vision are more commonly
developed in the python programming language. Therefore, Python application
developers cannot benefit from secure enclaves like Intel SGX and rust-SGX. To
fill this gap, we propose Python-SGX, which is a memory-safe SGX SDK providing
enclave developers a memory-safe Python development environment. The key idea
is to enable memory-safe Python language in SGX by solving the following key
challenges: (1) defining a memory-safe Python interpreter (2)replacing unsafe
elements of Python interpreter with safe ones,(3) achieving comparable
performance to non-enclave Python applications, and (4) not introducing any
unsafe new code or libraries into SGX. We propose to build Python-SGX with
PyPy, a Python interpreter written by RPython, which is a subset of Python, and
tame unsafe parts in PyPy by formal verification, security hardening, and
memory safe language. We have implemented python-SGX and tested it with a
series of benchmarks programs. Our evaluation results show that Python-SGX does
not cause significant overhead.",http://arxiv.org/abs/2005.05996v1,
Porting the LSST Data Management Pipeline Software to Python 3,Tim Jenness,"[{'@href': 'http://arxiv.org/abs/1611.00751v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/1611.00751v1', '@rel': 'related', '@type': 'application/pdf'}]",2016-11-02T19:48:34Z,"The LSST data management science pipelines software consists of more than
100,000 lines of Python 2 code. LSST operations will begin after support for
Python 2 has been dropped by the Python community in 2020, and we must
therefore plan to migrate the codebase to Python 3. During the transition
period we must also support our community of active Python 2 users and this
complicates the porting significantly. We have decided to use the Python future
package as the basis for our port to enable support for Python 2 and Python 3
simultaneously, whilst developing with a mindset more suited to Python 3. In
this paper we report on the current status of the port and the difficulties
that have been encountered.",http://arxiv.org/abs/1611.00751v1,
"A general approach for running Python codes in OpenFOAM using an
  embedded pybind11 Python interpreter",Simon Rodriguez,"[{'@href': 'http://arxiv.org/abs/2203.16394v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/2203.16394v1', '@rel': 'related', '@type': 'application/pdf'}]",2022-03-30T15:25:03Z,"As the overlap between traditional computational mechanics and machine
learning grows, there is an increasing demand for straight-forward approaches
to interface Python-based procedures with C++-based OpenFOAM. This article
introduces one such general methodology, allowing the execution of Python code
directly within an OpenFOAM solver without the need for Python code
translation. The proposed approach is based on the lightweight library
pybind11, where OpenFOAM data is transferred to an embedded Python interpreter
for manipulation, and results are returned as needed. Following a review of
related approaches, the article describes the approach, with a particular focus
on data transfer between Python and OpenFOAM, executing Python scripts and
functions, and practical details about the implementation in OpenFOAM. Three
complementary test cases are presented to highlight the functionality and
demonstrate the effect of different data transfer approaches: a Python-based
velocity profile boundary condition; a Python-based solver for prototyping; and
a machine learning mechanical constitutive law class for solids4foam which
performs field calculations.",http://arxiv.org/abs/2203.16394v1,
Python for education: the exact cover problem,Andrzej Kapanowski,"[{'@href': 'http://arxiv.org/abs/1010.5890v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/1010.5890v1', '@rel': 'related', '@type': 'application/pdf'}]",2010-10-28T08:53:26Z,"Python implementation of Algorithm X by Knuth is presented. Algorithm X finds
all solutions to the exact cover problem. The exemplary results for
pentominoes, Latin squares and Sudoku are given.",http://arxiv.org/abs/1010.5890v1,
"Teddy: Automatic Recommendation of Pythonic Idiom Usage For Pull-Based
  Software Projects",Purit Phan-udom,"[{'@href': 'http://arxiv.org/abs/2009.03302v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/2009.03302v1', '@rel': 'related', '@type': 'application/pdf'}]",2020-09-05T12:54:57Z,"Pythonic code is idiomatic code that follows guiding principles and practices
within the Python community. Offering performance and readability benefits,
Pythonic code is claimed to be widely adopted by experienced Python developers,
but can be a learning curve to novice programmers. To aid with Pythonic
learning, we create an automated tool, called Teddy, that can help checking the
Pythonic idiom usage. The tool offers a prevention mode with Just-In-Time
analysis to recommend the use of Pythonic idiom during code review and a
detection mode with historical analysis to run a thorough scan of idiomatic and
non-idiomatic code. In this paper, we first describe our tool and an evaluation
of its performance. Furthermore, we present a case study that demonstrates how
to use Teddy in a real-life scenario on an Open Source project. An evaluation
shows that Teddy has high precision for detecting Pythonic idiom and
non-Pythonic code. Using interactive visualizations, we demonstrate how novice
programmers can navigate and identify Pythonic idiom and non-Pythonic code in
their projects. Our video demo with the full interactive visualizations is
available at https://youtu.be/vOCQReSvBxA.",http://arxiv.org/abs/2009.03302v1,
Machine Learning using Stata/Python,Giovanni Cerulli,"[{'@href': 'http://arxiv.org/abs/2103.03122v1', '@rel': 'alternate', '@type': 'text/html'}, {'@title': 'pdf', '@href': 'http://arxiv.org/pdf/2103.03122v1', '@rel': 'related', '@type': 'application/pdf'}]",2021-03-03T10:31:44Z,"We present two related Stata modules, r_ml_stata and c_ml_stata, for fitting
popular Machine Learning (ML) methods both in regression and classification
settings. Using the recent Stata/Python integration platform (sfi) of Stata 16,
these commands provide hyper-parameters' optimal tuning via K-fold
cross-validation using greed search. More specifically, they make use of the
Python Scikit-learn API to carry out both cross-validation and outcome/label
prediction.",http://arxiv.org/abs/2103.03122v1,
